teste; t2; t3; t4; t5; t6; t7; t8
825; 846; 846; 847; 865; 862; 850; 868
810; 829; 845; 845; 853; 848; 846; 872
834; 822; 836; 833; 850; 856; 844; 854
797; 808; 825; 789; 820; 823; 832; 853
849; 851; 851; 851; 858; 862; 842; 861
838; 841; 825; 840; 845; 848; 829; 853
787; 803; 798; 828; 845; 843; 840; 849
792; 800; 815; 821; 835; 834; 832; 849
795; 807; 820; 825; 843; 834; 839; 855
834; 837; 826; 842; 839; 853; 838; 868
810; 833; 837; 838; 852; 858; 849; 871
807; 820; 807; 815; 845; 837; 848; 846
811; 800; 804; 805; 831; 831; 827; 847
804; 827; 829; 829; 837; 836; 823; 854
784; 798; 798; 790; 830; 828; 818; 852
818; 811; 824; 815; 848; 837; 833; 851
795; 786; 794; 803; 817; 817; 819; 856
823; 829; 811; 831; 837; 850; 827; 866
775; 775; 769; 783; 806; 813; 800; 832
757; 771; 789; 804; 813; 822; 809; 852
767; 759; 757; 704; 751; 768; 771; 811
772; 761; 755; 758; 791; 792; 787; 826
795; 800; 804; 812; 830; 832; 824; 846
774; 785; 805; 833; 839; 843; 827; 836
